,CUI,STR,NAME_SAB,DEF,DEF_SAB,TUI,STY
0,C0000946,Acebutolol,SNOMEDCT_US,"A synthetic butyranilide derivative with hypotensive and antiarrhythmic activity. Acebutolol acts as a cardioselective beta-adrenergic antagonist with little effect on bronchial receptors and has intrinsic sympathomimetic properties. Having stabilizing and quinidine-like effects on cardiac rhythm, Acebutolol is used in ventricular arrhythmias. Other indications include hypertension, alone or in combinations with other agents.",NCI,T109,Organic Chemical
1,C0000992,Acetohexamide,SNOMEDCT_US,"An intermediate-acting, first-generation sulfonylurea with hypoglycemic activity. Acetohexamide is metabolized in the liver to its active metabolite hydroxyhexamide.",NCI,T109,Organic Chemical
2,C0001655,Corticotrophins,RCD,"An anterior pituitary hormone that stimulates the ADRENAL CORTEX and its production of CORTICOSTEROIDS. ACTH is a 39-amino acid polypeptide of which the N-terminal 24-amino acid segment is identical in all species and contains the adrenocorticotrophic activity. Upon further tissue-specific processing, ACTH can yield ALPHA-MSH and corticotrophin-like intermediate lobe peptide (CLIP).",MSH,T116,"Amino Acid, Peptide, or Protein"
3,C0001873,Air pollution,SNOMEDCT_US,"Air pollution is a mixture of solid particles and gases in the air. Car emissions, chemicals from factories, dust, pollen and mold spores may be suspended as particles. Ozone, a gas, is a major part of air pollution in cities. When ozone forms air pollution, it's also called smog. Some air pollutants are poisonous. Inhaling them can increase the chance you'll have health problems. People with heart or lung disease, older adults and children are at greater risk from air pollution. Air pollution isn't just outside - the air inside buildings can also be polluted and affect your health. Environmental Protection Agency",MEDLINEPLUS,T069,Environmental Effect of Humans
4,C0001927,Albuterol,SNOMEDCT_US,"A racemic mixture of the r-isomer levalbuterol and s-albuterol, a short-acting sympathomimetic agent with bronchodilator activity. Albuterol stimulates beta-2 adrenergic receptors in the lungs, thereby activating the enzyme adenylate cyclase that catalyzes the conversion of adenosine triphosphate (ATP) to cyclic-3',5'-adenosine monophosphate (cAMP). Increased cAMP concentrations relax bronchial smooth muscle, relieve bronchospasms, and reduce inflammatory cell mediator release, especially from mast cells. Albuterol although to a lesser extent, also stimulates beta-1 adrenergic receptors, thereby increasing the force and rate of myocardial contraction.",NCI,T109,Organic Chemical
5,C0002334,Alprenolol,SNOMEDCT_US,"One of the ADRENERGIC BETA-ANTAGONISTS used as an antihypertensive, anti-anginal, and anti-arrhythmic agent.",MSH,T109,Organic Chemical
6,C0002502,Amiloride,SNOMEDCT_US,"A synthetic pyrazine derivative with antikaliuretic and diuretic properties. Amiloride inhibits sodium channels located in the distal tubules and collecting ducts of the kidney, thereby preventing the absorption of sodium and increasing its excretion along with water, to produce naturesis. In response to the hypernatremic conditions in the kidney, the plasma membrane becomes hyperpolarized and electrochemical forces are reduced, which then prevents the excretion of potassium and hydrogen into the lumen.",NCI,T109,Organic Chemical
7,C0002575,Aminophylline,SNOMEDCT_US,"A methylxanthine and derivative of theophylline. Aminophylline relaxes smooth muscles, particularly bronchial muscles. This xanthine most likely exerts its effect by inhibiting cAMP or cGMP phosphodiesterases, thereby increasing levels of the second messenger cAMP or cGMP intracellularly. Other mode of actions include an adenosine antagonistic effect on the activity of CD4 lymphocytes and mediator release from mast cells thereby decreasing lung sensitivity to allergens and other substances that cause inflammation. Aminophylline also acts as a CNS stimulant and exerts a positive chronotropic and inotropic effect on the heart.",NCI,T109,Organic Chemical
8,C0002658,Amphetamine,SNOMEDCT_US,"A synthetic substance related to natural sympathomimetic amines. Amphetamine appears to exert its central nervous system (CNS) and peripheral effects indirectly by inducing the release of biogenic amines from their storage sites in nerve terminals. This agent is a commonly abused psychostimulant drug, which may be snorted, taken orally, smoked, or injected. Amphetamine induces psychologic dependence which is manifested by elevated mood, increased wakefulness, concentration, physical performance and a feeling of well-being. With sustained use, the effects of tachycardia and enhanced alertness diminish while psychotoxic effects such as hallucinations and delusions may occur. (NCI04)",NCI,T109,Organic Chemical
9,C0002962,Angina Pectoris,MTH,"Angina is chest pain or discomfort you feel when there is not enough blood flow to your heart muscle. Your heart muscle needs the oxygen that the blood carries. Angina may feel like pressure or a squeezing pain in your chest. It may feel like indigestion. You may also feel pain in your shoulders, arms, neck, jaw, or back.  Angina is a symptom of coronary artery disease (CAD), the most common heart disease. CAD happens when a sticky substance called plaque builds up in the arteries that supply blood to the heart, reducing blood flow. There are three types of angina:  Stable angina is the most common type. It happens when the heart is working harder than usual. Stable angina has a regular pattern. Rest and medicines usually help. Unstable angina is the most dangerous. It does not follow a pattern and can happen without physical exertion. It does not go away with rest or medicine. It is a sign that you could have a heart attack soon. Variant angina is rare. It happens when you are resting. Medicines can help.  Not all chest pain or discomfort is angina. If you have chest pain, you should see your health care provider. NIH: National Heart, Lung, and Blood Institute",MEDLINEPLUS,T184,Sign or Symptom
10,C0002986,Fabry's disease,SNOMEDCT_US,"Fabry disease is an inherited disorder that results from the buildup of a type of fat, called globotriaosylceramide, in the body's cells. Beginning in childhood, this buildup causes signs and symptoms that affect many parts of the body. Characteristic features of Fabry disease include episodes of pain, particularly in the hands and feet (acroparesthesias); clusters of small, dark red spots on the skin called angiokeratomas; a decreased ability to sweat (hypohidrosis); cloudiness or streaks in the front part of the eye (corneal opacity or corneal verticillata); problems with the gastrointestinal system; ringing in the ears (tinnitus); and hearing loss. Additional signs and symptoms are possible, which can vary among affected individuals.~Fabry disease also involves potentially life-threatening complications such as progressive kidney failure, heart failure, and stroke. Some affected individuals have milder forms of the disorder that appear later in life and typically involve only the heart, kidneys, or blood vessels in the brain.",MEDLINEPLUS,T047,Disease or Syndrome
11,C0003364,antihypertensive agent,CSP,"What is high blood pressure? High blood pressure, also called hypertension, is when blood puts too much pressure against the walls of your arteries. Almost half of American adults have high blood pressure, usually with no symptoms. But it can cause serious problems such as stroke, heart failure, heart attack, and kidney disease. What lifestyle changes can help lower high blood pressure? Healthy lifestyle changes can help reduce high blood pressure:  Losing weight Being physically active Managing stress Reducing sodium in your diet Avoiding alcohol, tobacco, and illegal drugs Getting enough sleep  What if lifestyle changes alone cannot lower blood pressure? Sometimes lifestyle changes alone cannot control or lower your high blood pressure. In that case, your health care provider may prescribe blood pressure medicines. How do blood pressure medicines work? The most commonly used blood pressure medicines work in different ways to lower blood pressure:  Angiotensin-converting enzyme (ACE) inhibitors and angiotensin II receptor blockers (ARBs) keep your blood vessels from narrowing as much and allows blood to move through them with less pressure. Beta blockers help your heart beat slower and with less force. This means that your heart pumps less blood through your blood vessels. Beta blockers are typically used only as a backup option or if you also have certain other conditions. Calcium channel blockers prevent calcium from entering the muscle cells of your heart and blood vessels. This allows the blood vessels to relax. Diuretics remove extra water and sodium (salt) from your body. This lowers the amount of fluid in your blood. Diuretics are often used with other high blood pressure medicines, sometimes in one combined pill.  Often, two or more medicines work better than one. If these medicines do not lower your blood pressure enough, your provider may suggest that you take another type of blood pressure medicine. While taking the medicines, it is still important to keep up with your healthy lifestyle changes. Doing both helps keep blood pressure lower than lifestyle changes or medicines alone. NIH: National Heart, Lung, and Blood Institute",MEDLINEPLUS,T121,Pharmacologic Substance
12,C0003850,Arteriosclerosis,SNOMEDCT_US,A vascular disorder characterized by thickening and hardening of the walls of the arteries.,NCI,T047,Disease or Syndrome
