,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
1,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSH,True,antihypertensive agent inverse isa Acebutolol.
2,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHSWE,True,antihypertensive agent inverse isa Acebutolol.
3,C0543447,Acebutolol hydrochloride,has free acid or base form,C0000946,Acebutolol,RO,has_free_acid_or_base_form,NCI,True,Acebutolol hydrochloride has free acid or base form Acebutolol.
5,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHCZE,True,antihypertensive agent inverse isa Acebutolol.
6,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHFIN,True,antihypertensive agent inverse isa Acebutolol.
7,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHJPN,True,antihypertensive agent inverse isa Acebutolol.
8,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHPOL,True,antihypertensive agent inverse isa Acebutolol.
9,C0000946,Acebutolol,active ingredient of,C0000946,Acebutolol,RO,active_ingredient_of,SCTSPA,True,Acebutolol active ingredient of Acebutolol.
10,C0543447,Acebutolol hydrochloride,isa,C0000946,Acebutolol,RN,isa,MEDCIN,True,Acebutolol hydrochloride isa Acebutolol.
11,C0000946,Acebutolol,active ingredient of,C0000946,Acebutolol,RO,active_ingredient_of,SNOMEDCT_US,True,Acebutolol active ingredient of Acebutolol.
12,C0543447,Acebutolol hydrochloride,form of,C0000946,Acebutolol,RN,form_of,RXNORM,True,Acebutolol hydrochloride form of Acebutolol.
13,C0002962,Angina Pectoris,may be treated by,C0000946,Acebutolol,RO,may_be_treated_by,MED-RT,True,Angina Pectoris may be treated by Acebutolol.
14,C0020538,Hypertensive disease,may be treated by,C0000946,Acebutolol,RO,may_be_treated_by,MED-RT,True,Hypertensive disease may be treated by Acebutolol.
15,C0020649,Hypotension,has contraindicated drug,C0000946,Acebutolol,RO,has_contraindicated_drug,MED-RT,True,Hypotension has contraindicated drug Acebutolol.
16,C0032961,Pregnancy,has contraindicated drug,C0000946,Acebutolol,RO,has_contraindicated_drug,MED-RT,True,Pregnancy has contraindicated drug Acebutolol.
18,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHFRE,True,antihypertensive agent inverse isa Acebutolol.
19,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHGER,True,antihypertensive agent inverse isa Acebutolol.
20,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHITA,True,antihypertensive agent inverse isa Acebutolol.
21,C0000946,Acebutolol,has active ingredient,C0000946,Acebutolol,RO,has_active_ingredient,SNOMEDCT_US,True,Acebutolol has active ingredient Acebutolol.
22,C0543447,Acebutolol hydrochloride,has active ingredient,C0000946,Acebutolol,RO,has_active_ingredient,MEDCIN,True,Acebutolol hydrochloride has active ingredient Acebutolol.
23,C0543447,Acebutolol hydrochloride,is modification of,C0000946,Acebutolol,RO,is_modification_of,SNOMEDCT_US,True,Acebutolol hydrochloride is modification of Acebutolol.
24,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHRUS,True,antihypertensive agent inverse isa Acebutolol.
25,C0000946,Acebutolol,has active ingredient,C0000946,Acebutolol,RO,has_active_ingredient,SCTSPA,True,Acebutolol has active ingredient Acebutolol.
26,C0543447,Acebutolol hydrochloride,is modification of,C0000946,Acebutolol,RO,is_modification_of,SCTSPA,True,Acebutolol hydrochloride is modification of Acebutolol.
28,C0003364,antihypertensive agent,inverse isa,C0000946,Acebutolol,RB,inverse_isa,MSHPOR,True,antihypertensive agent inverse isa Acebutolol.
